Timestamp,Твоя програма,Стать,Курс,Чи проживаєш ти у колегіумі?,"Якби вибори студентського Урядку відбувалися завтра, за кого ти би віддав свій голос?",Поясни свій вибір за бажанням ,Чи ти належиш до СО?,Чи ти куриш?(паріння теж враховується),Чи ти цікавишся студентським політичним житям або політикою у країні?
10/4/2023 18:50:52,ІТ та БА,Не відповідатиму,1,Так,Так,,Ні,Інколи,50 на 50
10/4/2023 18:50:56,ІТ та БА,Чоловік,3,Так,Та ти шо,,Так,Ні,"Так, політикою"
10/4/2023 18:50:56,Комп’ютерні науки,Жінка,3,Ні,Та ти шо,,Ні,Так,50 на 50
10/4/2023 18:52:15,ЕПЕ,Жінка,2,Ні,Так,,Так,Ні,"Так, і тим, і тим"
10/4/2023 18:52:36,Соціологія,Жінка,1,Так,Не визначився(лась),.,Ні,Ні,50 на 50
10/4/2023 18:52:55,Філологія,Жінка,2,Так,Не визначився(лась),,Так,Так,50 на 50
10/4/2023 18:53:51,Право,Чоловік,2,Ні,Так,,Ні,Ні,"Так, і тим, і тим"
10/4/2023 18:54:33,ЕПЕ,Чоловік,3,Ні,Так,"Вважаю Так найбільш адекватною командою, хороша програма",Ні,Ні,"Так, і тим, і тим"
10/4/2023 18:57:05,Соціальна робота,Жінка,1,Так,Не визначився(лась),,Ні,Ні,"Так, і тим, і тим"
10/4/2023 18:57:27,Культурологія,Жінка,1,Так,Авжеж,,Ні,Так,50 на 50
10/4/2023 19:00:52,Філологія,Жінка,3,Так,Авжеж,,Так,Ні,"Так, студ життям"
10/4/2023 19:03:22,Культурологія,Жінка,2,Ні,Так,"Уряд, який працює на перспективу та розвиток університету не лише на 1 рік",Так,Так,"Так, і тим, і тим"
10/4/2023 19:05:45,Соціальна робота,Жінка,3,Так,Та ти шо,,Так,Ні,"Так, і тим, і тим"
10/4/2023 19:07:12,Право,Жінка,2,Ні,Так,,Так,Ні,50 на 50
10/4/2023 19:08:45,Богослов'я,Жінка,2,Так,Так,,Ні,Ні,"Так, і тим, і тим"
10/4/2023 19:16:44,Психологія,Жінка,1,Ні,Так,,Ні,Так,"Так, студ життям"
10/4/2023 19:17:50,ЕПЕ,Жінка,1,Ні,Не визначився(лась),,Ні,Так,"Так, політикою"
10/4/2023 19:20:17,Комп’ютерні науки,Чоловік,1,Так,Я виступаю проти всіх,,Ні,Ні,"Так, політикою"
10/4/2023 19:22:54,Культурологія,Жінка,3,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/4/2023 19:23:11,ІТ та БА,Жінка,3,Так,Не визначився(лась),,Так,Ні,"Так, і тим, і тим"
10/4/2023 19:25:31,ІТ та БА,Жінка,2,Так,Так,,Ні,Так,50 на 50
10/4/2023 19:39:03,Соціологія,Жінка,3,Ні,Не визначився(лась),я ще не читала програм,Ні,Ні,50 на 50
