Timestamp,Твоя програма,Стать,Курс,Чи проживаєш ти у колегіумі?,"Якби вибори студентського Урядку відбувалися завтра, за кого ти би віддав свій голос?",Поясни свій вибір за бажанням ,Чи ти належиш до СО?,Чи ти куриш?(паріння теж враховується),Чи ти цікавишся студентським політичним житям або політикою у країні?
10/5/2023 20:37:14,ІТ та БА,Жінка,1,Так,Не визначився(лась),,Ні,Ні,"Так, і тим, і тим"
10/5/2023 20:42:31,Соціальна робота,Жінка,3,Так,Не визначився(лась),,Так,Ні,"Так, і тим, і тим"
10/5/2023 20:46:38,Соціологія,Жінка,4,Ні,Так,"класна команда, хороша комунікація зі студентами, непогані цілі в маніфесті",Так,Так,50 на 50
10/5/2023 21:01:56,Соціологія,Жінка,4,Ні,Не визначився(лась),,Ні,Інколи,50 на 50
10/5/2023 21:13:42,Філологія,Жінка,3,Так,Авжеж,,Так,Так,"Так, і тим, і тим"
10/5/2023 21:14:11,Філологія,Жінка,1,Ні,Авжеж,,Ні,Так,"Так, і тим, і тим"
10/5/2023 21:14:31,Філологія,Жінка,4,Ні,Я виступаю проти всіх,,Ні,Ні,50 на 50
10/5/2023 21:15:28,Філологія,Жінка,1,Так,Не визначився(лась),,Так,Ні,"Так, і тим, і тим"
10/5/2023 21:16:25,Комп’ютерні науки,Чоловік,2,Так,Так,Немає вибору,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 21:18:46,Філологія,Жінка,3,Так,Так,"Хороша команда і хороший кандидат в президенти. В Авжеж теж хороша команда, але Так все імпонує більше.",Так,Так,"Так, і тим, і тим"
10/5/2023 21:21:09,Право,Жінка,1,Ні,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 21:25:38,Філологія,Жінка,1,Ні,Авжеж,,Так,Ні,"Так, студ життям"
10/5/2023 21:26:43,Історія,Жінка,1,Ні,Не визначився(лась),,Ні,Ні,"Так, і тим, і тим"
10/5/2023 21:29:33,Комп’ютерні науки,Чоловік,1,Ні,Не визначився(лась),,Ні,Інколи,50 на 50
10/5/2023 21:32:53,ЕПЕ,Жінка,4,Ні,Не визначився(лась),,Ні,Ні,"Так, і тим, і тим"
10/5/2023 21:45:04,Філологія,Жінка,2,Ні,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 21:50:07,Культурологія,Жінка,1,Ні,Та ти шо,,Ні,Інколи,"Так, і тим, і тим"
10/5/2023 21:51:33,Право,Жінка,2,Так,Так,"та шо  тут думать, очевидно ж",Так,Ні,"Так, і тим, і тим"
10/5/2023 21:53:46,Філологія,Жінка,2,Ні,Не визначився(лась),,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 21:56:40,Комп’ютерні науки,Чоловік,2,Ні,Так,подобаються їх ідеї змінити студцентр,Ні,Так,"Так, і тим, і тим"
10/5/2023 21:59:18,Комп’ютерні науки,Жінка,2,Так,Так,,Ні,Так,50 на 50
10/5/2023 22:04:56,Філологія,Жінка,1,Ні,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 22:07:50,Комп’ютерні науки,Чоловік,3,Ні,Не визначився(лась),,Так,Інколи,"Так, політикою"
10/5/2023 22:08:16,ЕПЕ,Чоловік,2,Так,Так,,Ні,Ні,"Так, і тим, і тим"
10/5/2023 22:13:15,Культурологія,Жінка,4,Ні,Я виступаю проти всіх,"Уряд не повинен існувати в уку, це утопічна структура ",Так,Так,"Так, і тим, і тим"
10/5/2023 22:34:28,ІТ та БА,Чоловік,3,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 22:37:17,Психологія,Жінка,1,Ні,Авжеж,,Ні,Ні,50 на 50
10/5/2023 22:44:31,ІТ та БА,Жінка,2,Ні,Не визначився(лась),,Ні,Ні,50 на 50
10/5/2023 22:55:00,Філологія,Жінка,3,Ні,Так,,Ні,Так,50 на 50
10/5/2023 23:07:19,Комп’ютерні науки,Жінка,2,Так,Так,Приємні люди в цьому складі ,Ні,Так,50 на 50
10/5/2023 23:39:39,ЕПЕ,Жінка,1,Так,Не визначився(лась),,Так,Інколи,"Так, і тим, і тим"
10/5/2023 23:39:51,ЕПЕ,Жінка,3,Ні,Авжеж,,Так,Так,"Так, і тим, і тим"
10/5/2023 23:40:10,Соціальна робота,Жінка,2,Ні,Так,"Структурованість, цікаві події, залучення студентства до обговорення вже під час кампанії",Так,Так,50 на 50
10/5/2023 23:40:42,Філологія,Жінка,1,Ні,Та ти шо,.,Ні,Ні,"Так, політикою"
10/5/2023 23:47:46,Соціологія,Жінка,1,Так,Не визначився(лась),,Так,Ні,50 на 50
10/5/2023 23:48:52,Право,Жінка,3,Так,Так,мають голову на плечах!,Так,Ні,"Так, студ життям"
